Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
11,김규성,25 1B,0.105,3,2,17.0,19,17,2,0,100.0,10.06,1.04,,0.03,,0.1,,,,1.17,2.06,-0.14,1.03,0.119,0.105,1루수
12,황재균,25 1B,0.082,32,26,222.0,229,210,19,0,100.0,9.28,2.39,,0.41,,0.1,,,,2.9,6.97,-2.1,0.8,0.296,0.082,1루수
13,이호연,25 1B,0.07,11,8,75.0,67,62,5,0,100.0,8.04,1.25,,0.14,,,,,,1.39,10.53,-0.7,0.69,0.141,0.07,1루수
14,박승욱,25 1B,0.069,5,0,10.2,9,8,1,0,100.0,7.59,0.75,,0.02,,,,,,0.77,3.38,-0.1,0.67,0.079,0.069,1루수
15,도태훈,25 1B,0.067,18,5,77.0,71,64,7,0,100.0,8.3,1.44,,0.14,,-0.37,,,,1.22,4.62,-0.56,0.66,0.124,0.067,1루수
16,황대인,25 1B,0.052,16,15,113.0,113,107,4,2,98.2,8.84,1.3,,0.21,,0.1,,,,1.61,12.87,-1.1,0.51,0.164,0.052,1루수
17,류지혁,25 1B,0.05,11,3,40.0,44,42,2,0,100.0,9.9,0.76,,0.07,,,,,,0.83,1.43,-0.34,0.49,0.085,0.05,1루수
18,이도윤,25 1B,0.048,4,0,5.0,7,7,0,0,100.0,12.6,0.48,,0.01,,,,,,0.49,1.02,-0.02,0.47,0.05,0.048,1루수
19,박지훈,25 1B,0.035,8,0,12.0,6,6,0,0,100.0,4.5,0.35,,0.02,,,,,,0.37,2.12,-0.02,0.35,0.037,0.035,1루수
20,김민혁,25 1B,0.024,8,5,35.0,33,32,1,0,100.0,8.49,0.47,,0.06,,,,,,0.53,7.69,-0.3,0.23,0.054,0.024,1루수
21,윤준혁,25 1B,0.023,9,1,23.0,21,19,2,0,100.0,8.22,0.33,,0.04,,,,,,0.37,2.65,-0.14,0.23,0.037,0.023,1루수
22,김민수,25 1B,0.021,7,2,27.0,26,23,3,0,100.0,8.67,0.36,,0.05,,,,,,0.41,4.51,-0.2,0.21,0.041,0.021,1루수
23,추재현,25 1B,0.021,2,1,6.1,10,9,1,0,100.0,14.21,0.25,,0.01,,,,,,0.26,1.4,-0.06,0.2,0.027,0.021,1루수
24,윤정빈,25 1B,0.015,1,0,3.0,1,0,1,0,100.0,3.0,0.18,,0.01,,,,,,0.19,1.19,-0.04,0.15,0.019,0.015,1루수
25,오선진,25 1B,0.005,6,1,16.0,16,15,1,0,100.0,9.0,0.06,,0.03,,0.1,,,,0.19,0.43,-0.14,0.05,0.019,0.005,1루수
26,손용준,25 1B,0.005,1,1,4.0,6,6,0,0,100.0,13.5,0.08,,0.01,,,,,,0.09,3.12,-0.04,0.05,0.009,0.005,1루수
27,김태연,25 1B,0.0,34,15,174.1,172,152,18,2,98.8,8.78,1.93,,-0.18,,-0.2,,,,1.54,3.04,-1.54,0.0,0.157,0.0,1루수
28,김태훈,25 1B,-0.002,1,0,1.0,2,2,0,0,100.0,18.0,,,0.0,,,,,,0.0,0.01,-0.02,-0.02,0.0,-0.002,1루수
29,최준우,25 1B,-0.003,1,0,4.0,3,3,0,0,100.0,6.75,0.0,,0.01,,,,,,0.01,0.01,-0.04,-0.03,0.001,-0.003,1루수
30,권광민,25 1B,-0.005,3,0,6.1,8,8,0,0,100.0,11.37,-0.02,,0.01,,,,,,-0.01,-0.32,-0.04,-0.05,-0.001,-0.005,1루수
31,박주홍,25 1B,-0.012,3,0,5.0,2,2,0,0,100.0,3.6,-0.09,,0.01,,,,,,-0.08,-0.2,-0.04,-0.12,-0.008,-0.012,1루수
32,문정빈,25 1B,-0.027,6,2,18.0,20,18,2,0,100.0,10.0,-0.18,,0.03,,,,,,-0.15,-1.02,-0.12,-0.27,-0.015,-0.027,1루수
33,디아즈,25 1B,-0.033,75,73,636.0,648,588,57,3,99.5,9.13,4.71,,1.17,,0.26,,,,6.14,9.93,-6.46,-0.32,0.625,-0.033,1루수
34,서건창,25 1B,-0.033,2,2,13.0,13,13,0,0,100.0,9.0,-0.21,,0.02,,,,,,-0.19,-2.7,-0.14,-0.33,-0.019,-0.033,1루수
35,양현종,25 1B,-0.04,2,2,14.0,11,11,0,0,100.0,7.07,-0.31,,0.03,,,,,,-0.29,-4.62,-0.1,-0.39,-0.029,-0.04,1루수
36,박계범,25 1B,-0.044,2,1,8.0,6,6,0,0,100.0,6.75,-0.41,,0.01,,,,,,-0.4,-1.14,-0.04,-0.44,-0.04,-0.044,1루수
37,이성규,25 1B,-0.055,3,1,7.0,5,5,0,0,100.0,6.43,-0.51,,0.01,,,,,,-0.5,-1.79,-0.04,-0.54,-0.051,-0.055,1루수
38,송승환,25 1B,-0.055,1,1,2.0,2,2,0,0,100.0,9.0,-0.52,,0.0,,,,,,-0.52,-6.23,-0.02,-0.54,-0.053,-0.055,1루수
39,맥브룸,25 1B,-0.062,6,5,45.0,48,43,5,0,100.0,9.6,-0.54,,0.08,,0.24,,,,-0.21,-1.39,-0.4,-0.61,-0.022,-0.062,1루수
40,문상철,25 1B,-0.067,54,43,351.0,360,332,28,0,100.0,9.23,1.7,,0.65,,0.1,,,,2.45,5.34,-3.1,-0.65,0.249,-0.067,1루수
41,변우혁,25 1B,-0.069,14,4,52.0,44,39,5,0,100.0,7.62,0.54,,0.1,,-0.84,,,,-0.21,-0.77,-0.46,-0.67,-0.022,-0.069,1루수
42,강민성,25 1B,-0.078,3,0,8.0,3,3,0,0,100.0,3.38,-0.72,,0.01,,,,,,-0.7,-5.07,-0.06,-0.76,-0.072,-0.078,1루수
43,강진성,25 1B,-0.082,4,2,19.0,18,17,1,0,100.0,8.53,-0.68,,0.04,,,,,,-0.64,-15.37,-0.16,-0.8,-0.065,-0.082,1루수
44,김현수,25 1B,-0.082,12,9,83.0,84,73,9,2,97.6,8.89,0.31,,-0.35,,0.1,,,,0.05,0.08,-0.86,-0.81,0.005,-0.082,1루수
45,오윤석,25 1B,-0.084,24,12,115.1,108,100,8,0,100.0,8.43,0.38,,0.21,,-0.39,,,,0.2,0.53,-1.02,-0.82,0.02,-0.084,1루수
46,김인환,25 1B,-0.088,2,1,9.0,11,10,0,1,90.9,10.0,-0.3,,-0.49,,,,,,-0.79,-28.36,-0.08,-0.87,-0.08,-0.088,1루수
47,김민성,25 1B,-0.104,8,1,17.0,22,22,0,0,100.0,11.65,-0.93,,0.03,,,,,,-0.9,-2.12,-0.12,-1.02,-0.091,-0.104,1루수
48,송찬의,25 1B,-0.107,4,2,16.0,19,17,1,1,94.7,10.13,-0.92,,0.03,,,,,,-0.89,-1.98,-0.16,-1.05,-0.091,-0.107,1루수
49,김웅빈,25 1B,-0.113,3,2,19.0,15,15,0,0,100.0,7.11,-0.95,,0.04,,,,,,-0.91,-18.76,-0.2,-1.11,-0.093,-0.113,1루수
50,김휘집,25 1B,-0.119,16,6,69.0,62,57,5,0,100.0,8.09,-0.79,,0.13,,,,,,-0.66,-1.13,-0.5,-1.16,-0.068,-0.119,1루수
51,오영수,25 1B,-0.122,9,5,43.0,36,32,3,1,97.2,7.33,-0.89,,0.08,,,,,,-0.81,-3.09,-0.38,-1.19,-0.083,-0.122,1루수
52,전병우,25 1B,-0.137,7,0,12.0,13,11,1,1,92.3,9.0,-0.86,,-0.48,,0.1,,,,-1.24,-4.26,-0.1,-1.34,-0.127,-0.137,1루수
53,오태곤,25 1B,-0.143,28,7,94.1,93,88,5,0,100.0,8.87,-1.34,,0.17,,0.44,,,,-0.73,-1.37,-0.68,-1.41,-0.074,-0.143,1루수
54,고명준,25 1B,-0.143,79,77,649.1,620,562,56,2,99.7,8.57,3.42,,1.2,,0.35,,,,4.97,8.43,-6.38,-1.41,0.506,-0.143,1루수
55,이정훈,25 1B,-0.144,1,1,8.0,9,8,0,1,88.9,9.0,-1.35,,0.01,,,,,,-1.34,-6.63,-0.08,-1.42,-0.136,-0.144,1루수
56,김동준,25 1B,-0.172,1,0,3.0,4,3,0,1,75.0,9.0,-1.17,,-0.5,,,,,,-1.67,-9.61,-0.02,-1.69,-0.17,-0.172,1루수
57,이창용,25 1B,-0.174,3,1,10.0,13,12,0,1,92.3,10.8,-1.65,,0.02,,,,,,-1.63,-29.31,-0.08,-1.71,-0.166,-0.174,1루수
58,카디네스,25 1B,-0.191,6,6,54.0,49,42,5,2,95.9,7.83,-1.0,,-0.41,,,,,,-1.41,-3.83,-0.46,-1.87,-0.144,-0.191,1루수
59,양석환,25 1B,-0.214,59,58,491.2,484,442,38,4,99.2,8.79,3.2,,-0.11,,-0.27,,,,2.82,6.76,-4.92,-2.1,0.287,-0.214,1루수
60,오스틴,25 1B,-0.291,61,60,501.1,501,455,42,4,99.2,8.92,2.18,,-0.09,,0.27,,,,2.37,4.54,-5.22,-2.85,0.241,-0.291,1루수
61,문보경,25 1B,-0.321,17,8,80.0,87,80,5,2,97.7,9.56,-1.67,,-0.86,,0.1,,,,-2.44,-3.94,-0.72,-3.16,-0.248,-0.321,1루수
62,위즈덤,25 1B,-0.342,51,33,320.2,331,315,16,0,100.0,9.29,-0.97,,0.59,,0.11,,,,-0.27,-0.57,-3.08,-3.35,-0.028,-0.342,1루수
63,서호철,25 1B,-0.452,31,21,190.0,174,169,5,0,100.0,8.24,-2.82,,0.35,,-0.2,,,,-2.68,-6.76,-1.76,-4.44,-0.273,-0.452,1루수
64,김민석,25 1B,-0.526,20,16,120.1,133,125,6,2,98.5,9.8,-3.4,,-0.79,,0.1,,,,-4.09,-11.32,-1.08,-5.17,-0.416,-0.526,1루수
65,오선우,25 1B,-0.673,41,33,272.2,286,268,13,5,98.3,9.28,-1.95,,-2.03,,0.1,,,,-3.87,-7.97,-2.74,-6.61,-0.394,-0.673,1루수
66,데이비슨,25 1B,-0.693,45,45,332.0,313,287,24,2,99.4,8.43,-2.87,,0.61,,-0.91,,,,-3.16,-7.23,-3.64,-6.8,-0.322,-0.693,1루수
67,채은성,25 1B,-1.035,75,74,607.2,588,567,17,4,99.3,8.65,-3.6,,-0.4,,-0.27,,,,-4.27,-7.06,-5.9,-10.17,-0.434,-1.035,1루수
68,나승엽,25 1B,-1.09,68,66,546.2,535,494,35,6,98.9,8.71,-4.96,,0.0,,-0.2,,,,-5.17,-10.33,-5.54,-10.71,-0.526,-1.09,1루수
69,최주환,25 1B,-1.241,74,73,620.0,561,519,37,5,99.1,8.07,-5.83,,-0.38,,0.36,,,,-5.84,-9.78,-6.34,-12.18,-0.595,-1.241,1루수
70,케이브,25 1B,,1,0,1.0,1,1,0,0,100.0,9.0,,,0.0,,,,,,0.0,0.0,,,0.0,,1루수
70,오명진,25 1B,,1,0,0.2,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,,1루수
70,최항,25 1B,,3,0,4.0,5,2,2,1,80.0,9.0,0.31,,-0.5,,0.1,,,,-0.09,-2.63,,,-0.009,,1루수
70,이원석,25 1B,,1,0,2.0,4,4,0,0,100.0,18.0,,,0.0,,,,,,0.0,0.18,,,0.0,,1루수
70,이주형,25 1B,,2,0,2.0,1,1,0,0,100.0,4.5,-0.11,,0.0,,,,,,-0.11,-1.7,,,-0.011,,1루수
1,박민우,25 2B,0.981,71,68,536.2,331,138,185,8,97.6,5.42,5.71,,0.42,0.57,,,,,6.7,12.06,2.93,9.63,0.682,0.981,2루수
2,강승호,25 2B,0.406,25,24,199.1,120,63,56,1,99.2,5.37,3.39,,0.53,-0.85,,,,,3.07,5.82,0.92,3.99,0.313,0.406,2루수
3,천성호,25 2B,0.406,1,0,154.1,101,36,63,2,98.0,5.77,2.76,,-0.09,0.6,,,,,3.27,10.23,0.72,3.99,0.333,0.406,2루수
4,오명진,25 2B,0.384,44,38,327.2,197,88,106,3,98.5,5.33,1.04,,0.37,0.83,,,,,2.24,4.81,1.53,3.77,0.228,0.384,2루수
5,홍종표,25 2B,0.315,32,8,115.2,68,28,40,0,100.0,5.29,2.17,,0.31,0.16,,,,,2.63,8.62,0.46,3.09,0.268,0.315,2루수
6,김상수,25 2B,0.258,52,48,393.1,228,83,143,2,99.1,5.17,-0.48,,0.54,0.53,,,,,0.59,1.32,1.94,2.53,0.061,0.258,2루수
7,한태양,25 2B,0.23,29,19,170.1,95,43,51,1,98.9,4.97,1.26,,0.45,-0.23,,,,,1.49,3.64,0.77,2.26,0.152,0.23,2루수
8,여동건,25 2B,0.215,6,4,38.0,30,11,18,1,96.7,6.87,1.65,,0.1,0.23,,,,,1.98,25.89,0.13,2.11,0.201,0.215,2루수
9,류지혁,25 2B,0.208,73,62,536.2,281,121,159,1,99.6,4.7,-1.78,,1.43,-0.16,,,,,-0.5,-0.86,2.54,2.04,-0.051,0.208,2루수
10,김규성,25 2B,0.207,44,18,199.2,106,45,59,2,98.1,4.69,0.8,,0.53,-0.03,,,,,1.3,2.28,0.74,2.04,0.132,0.207,2루수
11,송성문,25 2B,0.195,24,23,187.0,118,54,63,1,99.2,5.63,0.68,,0.5,-0.28,,,,,0.9,1.41,1.01,1.91,0.092,0.195,2루수
12,전태현,25 2B,0.19,34,24,213.0,115,44,68,3,97.4,4.73,1.21,,-0.44,0.19,,,,,0.95,2.33,0.91,1.86,0.097,0.19,2루수
13,손호영,25 2B,0.178,5,5,40.0,27,12,15,0,100.0,6.08,1.44,,0.11,,,,,,1.55,4.21,0.2,1.75,0.158,0.178,2루수
14,송지후,25 2B,0.176,23,20,170.1,102,43,58,1,99.0,5.34,1.37,,0.45,-0.75,,,,,1.07,6.42,0.66,1.73,0.109,0.176,2루수
15,양도근,25 2B,0.171,30,13,125.1,78,35,42,1,98.7,5.53,0.97,,-0.17,0.35,,,,,1.15,2.24,0.53,1.68,0.117,0.171,2루수
16,이유찬,25 2B,0.145,6,4,40.0,26,12,14,0,100.0,5.85,0.81,,0.11,0.35,,,,,1.27,4.58,0.15,1.42,0.129,0.145,2루수
17,박민,25 2B,0.141,17,13,95.0,59,17,40,2,96.6,5.4,1.44,,-0.25,-0.19,,,,,1.0,5.54,0.38,1.38,0.102,0.141,2루수
18,서건창,25 2B,0.114,7,4,34.0,23,11,12,0,100.0,6.09,0.95,,0.09,-0.06,,,,,0.97,14.02,0.15,1.12,0.099,0.114,2루수
19,최정용,25 2B,0.113,3,2,17.0,10,4,6,0,100.0,5.29,0.73,,0.05,0.28,,,,,1.06,38.14,0.05,1.11,0.108,0.113,2루수
20,전병우,25 2B,0.105,6,3,17.0,11,7,4,0,100.0,5.82,0.9,,0.05,,,,,,0.94,3.24,0.09,1.03,0.096,0.105,2루수
21,박승욱,25 2B,0.104,14,0,21.0,16,5,11,0,100.0,6.86,0.72,,0.06,0.21,,,,,0.99,4.33,0.03,1.02,0.101,0.104,2루수
22,구본혁,25 2B,0.1,25,19,158.0,88,39,48,1,98.9,4.96,-0.28,,-0.08,0.67,,,,,0.3,0.52,0.68,0.98,0.031,0.1,2루수
23,서유신,25 2B,0.084,2,2,17.0,7,3,4,0,100.0,3.71,0.72,,0.05,,,,,,0.77,18.47,0.06,0.83,0.078,0.084,2루수
